date,account_value
2024-04-26,969892.067822644
2024-04-29,1028708.023510644
2024-04-30,1018552.016252644
2024-05-06,1032775.921494644
2024-05-07,1041758.425244644
2024-05-08,1031588.3708966441
2024-05-09,1036296.4320186441
2024-05-10,1038408.645516644
2024-05-13,1040186.4983146439
2024-05-14,1048535.9398186441
2024-05-15,1024704.0335546441
2024-05-16,1004378.1266426439
2024-05-17,996810.866116644
2024-05-20,983497.112602644
2024-05-21,991177.987400644
2024-05-22,982871.151248644
2024-05-23,962964.815740644
2024-05-24,938905.2168506441
2024-05-27,943101.0855846441
2024-05-28,937304.576964644
2024-05-29,936692.9720886439
2024-05-30,953839.984762644
2024-05-31,943421.089806644
2024-06-03,968831.5598106441
2024-06-04,976370.107380644
2024-06-05,1007463.471732644
2024-06-06,1005059.657580644
2024-06-07,1004838.911152644
2024-06-11,1003260.1927186439
2024-06-12,1009376.396172644
2024-06-13,1026366.725140644
2024-06-14,1027981.566810644
2024-06-17,1042809.976036644
2024-06-18,1051059.695664644
2024-06-19,1037888.2693786441
2024-06-20,1035292.267060644
2024-06-21,1042261.9698006442
2024-06-24,1035007.612604644
2024-06-25,1002534.5094886442
2024-06-26,1005044.991714644
2024-06-27,994291.8907526439
2024-06-28,997356.8613306441
2024-07-01,994063.7340446439
2024-07-02,971810.3915206442
2024-07-03,978517.0518686438
2024-07-04,982613.5081146442
2024-07-05,980693.3280886441
2024-07-08,1019950.7372826441
2024-07-09,1040539.6865866442
2024-07-10,1048249.2743406439
2024-07-11,1056370.868524644
2024-07-12,1092442.901364644
2024-07-15,1090565.171996644
2024-07-16,1108405.207952644
2024-07-17,1097565.2947526441
2024-07-18,1094032.959720644
2024-07-19,1115028.725484644
2024-07-22,1101073.3437946439
2024-07-23,1052614.5452946443
2024-07-24,1036333.456076644
2024-07-25,1034754.824088644
2024-07-26,1043862.921312644
2024-07-29,1021679.5708266441
2024-07-30,1011413.863046644
2024-07-31,1033596.768564644
2024-08-01,1022993.6303246442
2024-08-02,994117.614258644
2024-08-05,950029.4837326441
2024-08-06,953342.553300644
2024-08-07,929811.657610644
2024-08-08,924717.755118644
2024-08-09,925890.896916644
2024-08-12,927418.978670644
2024-08-13,939571.3739086441
2024-08-14,937222.844023644
2024-08-15,933284.6596576439
2024-08-16,920292.386359644
2024-08-19,903022.209034644
2024-08-20,928785.654514644
2024-08-21,935443.7384806438
2024-08-22,917568.0295036441
2024-08-23,910807.4629666441
2024-08-26,896988.5569006439
2024-08-27,878839.814470644
2024-08-28,885123.453568644
2024-08-29,881572.7748916439
2024-08-30,911038.860697644
2024-09-02,869898.504724644
2024-09-03,881046.990268644
2024-09-04,871664.8603936441
2024-09-05,878759.3072326441
2024-09-06,860366.417197644
2024-09-09,867803.347903644
2024-09-10,867732.5153866439
2024-09-11,866950.904440644
2024-09-12,853475.864344644
2024-09-13,848731.329493644
2024-09-18,854801.088937644
2024-09-19,870050.777320644
2024-09-20,850023.210982644
2024-09-23,832367.221018644
2024-09-24,856461.264988644
2024-09-25,874929.444796644
2024-09-26,909297.555514644
2024-09-27,985404.332395644
2024-09-30,1077421.0258546441
2024-10-08,1184225.234128644
2024-10-09,1159402.893652644
2024-10-10,1159009.5486046441
2024-10-11,1124433.3975916442
2024-10-14,1111719.997105644
2024-10-15,1097649.7219726439
2024-10-16,1061430.2910916442
2024-10-17,1041628.2831256441
2024-10-18,1106845.475938644
2024-10-21,1141446.3664906442
2024-10-22,1136577.3737356442
2024-10-23,1120258.2870826442
2024-10-24,1104793.336942644
2024-10-25,1122420.441058644
2024-10-28,1114179.9240736442
2024-10-29,1098183.0390046441
2024-10-30,1078820.469064644
2024-10-31,1077631.070146644
2024-11-01,1053919.7636626442
2024-11-04,1073691.5036776438
2024-11-05,1110737.5673266442
2024-11-06,1104404.760097644
2024-11-07,1124007.3313336442
2024-11-08,1121122.720210644
2024-11-11,1164377.4441316442
2024-11-12,1156583.586634644
2024-11-13,1139918.940961644
2024-11-14,1107701.3055016438
2024-11-15,1080820.675723644
2024-11-18,1054146.704137644
2024-11-19,1067864.5097356443
2024-11-20,1063228.296814644
2024-11-21,1053948.6495106441
2024-11-22,999912.9743986441
