date,account_value
2024-04-18,1789491.4025410837
2024-04-19,1791380.855313084
2024-04-22,1736586.724925084
2024-04-23,1625109.0113770836
2024-04-24,1672345.3306770837
2024-04-25,1676124.236221084
2024-04-26,1753591.7998730838
2024-04-29,1702576.575029084
2024-04-30,1696908.216713084
2024-05-06,1668566.425133084
2024-05-07,1668566.425133084
2024-05-08,1668566.425133084
2024-05-09,1708244.9333450836
2024-05-10,1738476.177697084
2024-05-13,1749812.894329084
2024-05-14,1787601.9497690839
2024-05-15,1725250.0082930839
2024-05-16,1638335.1807810836
2024-05-17,1642114.0863250839
2024-05-20,1689350.405625084
2024-05-21,1591098.861481084
2024-05-22,1551420.353269084
2024-05-23,1543862.542181084
2024-05-24,1545751.9949530838
2024-05-27,1613772.294745084
2024-05-28,1613772.294745084
2024-05-29,1655340.255729084
2024-05-30,1575983.2393050836
2024-05-31,1575983.2393050836
2024-06-03,1543862.542181084
2024-06-04,1587319.9559370838
2024-06-05,1517410.2033730838
2024-06-06,1562757.0699010836
2024-06-07,1589209.4087090837
2024-06-11,1536304.731093084
2024-06-12,1558978.1643570838
2024-06-13,1530636.372777084
2024-06-14,1564646.522673084
2024-06-17,1547641.4477250837
2024-06-18,1538194.1838650838
2024-06-19,1587319.9559370838
2024-06-20,1596767.2197970836
2024-06-21,1574093.7865330838
2024-06-24,1558978.1643570838
2024-06-25,1574093.7865330838
2024-06-26,1568425.4282170841
2024-06-27,1547641.4477250837
2024-06-28,1606214.483657084
2024-07-01,1636445.7280090838
2024-07-02,1613772.294745084
2024-07-03,1630777.3696930842
2024-07-04,1666676.9723610836
2024-07-05,1717692.197205084
2024-07-08,1713849.8517770837
2024-07-09,1746509.486097084
2024-07-10,1686953.6823370839
2024-07-11,1738824.866257084
2024-07-12,1683111.372417084
2024-07-15,1754194.1059370837
2024-07-16,1761878.7257770835
2024-07-17,1644688.273217084
2024-07-18,1656215.202977084
2024-07-19,1615870.948817084
2024-07-22,1562078.609937084
2024-07-23,1452572.7772170836
2024-07-24,1427597.7627370837
2024-07-25,1348830.4093770836
2024-07-26,1396859.283377084
2024-07-29,1414149.678017084
2024-07-30,1375726.578817084
2024-07-31,1435282.3825770835
2024-08-01,1444888.1573770838
2024-08-02,1387253.5085770837
2024-08-05,1350751.564337084
2024-08-06,1341145.7895370838
2024-08-07,1362278.4940970838
2024-08-08,1335382.324657084
2024-08-09,1356515.029217084
2024-08-12,1368041.9589770837
2024-08-13,1379568.8887370839
2024-08-14,1364199.6490570838
2024-08-15,1389174.6635370837
2024-08-16,1427597.7627370837
2024-08-19,1442967.0024170838
2024-08-20,1423755.4528170838
2024-08-21,1427597.7627370837
2024-08-22,1429518.9176970841
2024-08-23,1425676.6077770838
2024-08-26,1467942.0168970837
2024-08-27,1448730.4672970837
2024-08-28,1427597.7627370837
2024-08-29,1425676.6077770838
2024-08-30,1439124.692497084
2024-09-02,1402622.7482570838
2024-09-03,1402622.7482570838
2024-09-04,1333461.169697084
2024-09-05,1329618.8597770836
2024-09-06,1327697.7048170837
2024-09-09,1289274.605617084
2024-09-10,1291195.760577084
2024-09-11,1260457.2812170838
2024-09-12,1262378.4361770838
2024-09-13,1254693.816337084
2024-09-18,1295038.070497084
2024-09-19,1375726.578817084
2024-09-20,1429518.9176970841
2024-09-23,1419913.142897084
2024-09-24,1475626.636737084
2024-09-25,1494838.1863370836
2024-09-26,1560157.454977084
2024-09-27,1608186.3289770838
2024-09-30,1671584.4426570837
2024-10-08,1658136.357937084
2024-10-09,1523655.5107370839
2024-10-10,1575526.6946570836
2024-10-11,1546709.3702570843
2024-10-14,1613949.7938570841
2024-10-15,1539024.750417084
2024-10-16,1540945.905377084
2024-10-17,1514049.7359370836
2024-10-18,1537103.595457084
2024-10-21,1598580.554177084
2024-10-22,1600501.709137084
2024-10-23,1575526.6946570836
2024-10-24,1540945.905377084
2024-10-25,1521734.355777084
2024-10-28,1521734.355777084
2024-10-29,1471784.3268170836
2024-10-30,1487153.5664970838
2024-10-31,1460257.397057084
2024-11-01,1523655.5107370839
2024-11-04,1537103.595457084
2024-11-05,1571684.3847370837
2024-11-06,1575526.6946570836
2024-11-07,1562078.609937084
2024-11-08,1556315.1450570836
