date,account_value,Agent
2024-12-17,1312953.2311078354,A2C
2024-12-18,1363373.3310268356,A2C
2024-12-19,1392952.1290738354,A2C
2024-12-20,1402770.2087998358,A2C
2024-12-23,1374713.2236418356,A2C
2024-12-24,1386816.9241588358,A2C
2024-12-25,1366671.8668408357,A2C
2024-12-26,1429919.2305718358,A2C
2024-12-27,1425877.4724748358,A2C
2024-12-30,1456676.8579018358,A2C
2024-12-31,1408609.4308198357,A2C
2025-01-02,1357033.9631698355,A2C
2025-01-03,1329043.1153428357,A2C
2025-01-06,1324180.1802418358,A2C
2025-01-07,1374919.3718428358,A2C
2025-01-08,1357750.1312358356,A2C
2025-01-09,1348560.8742698354,A2C
2025-01-10,1356201.3521278354,A2C
2025-01-13,1345382.3539938356,A2C
2025-01-14,1412573.0984228358,A2C
2025-01-15,1383260.265170836,A2C
2025-01-16,1373199.9458518357,A2C
2025-01-17,1384226.5684838358,A2C
2025-01-20,1413961.630853836,A2C
2025-01-21,1437979.3791748357,A2C
2025-01-22,1459705.4172968357,A2C
2025-01-23,1434208.5762888358,A2C
2025-01-24,1447618.6190848358,A2C
2025-01-27,1422948.6005188357,A2C
2025-02-05,1491021.5561888358,A2C
2025-02-06,1530774.1667908356,A2C
2025-02-07,1578408.9384818356,A2C
2025-02-10,1595036.7233828362,A2C
2025-02-11,1657603.3202348356,A2C
2025-02-12,1822600.4954858357,A2C
2025-02-13,1832743.9944148355,A2C
2025-02-14,1831010.9381628355,A2C
2025-02-17,1834900.0921158358,A2C
2025-02-18,1934219.4371108357,A2C
2025-02-19,2126798.889041836,A2C
2025-02-20,2060085.5622678357,A2C
2025-02-21,2127009.8255508356,A2C
2025-02-24,2019936.4324658355,A2C
2025-02-25,1982297.3487398354,A2C
2025-02-26,1999573.8916128357,A2C
2025-02-27,1991595.6959548357,A2C
2025-02-28,1909640.9544088356,A2C
2025-03-03,1921519.671891836,A2C
2025-03-04,1931069.0080388356,A2C
2025-03-05,1953682.750436836,A2C
2025-03-06,1980092.2120298361,A2C
2025-03-07,1951359.1807918358,A2C
2025-03-10,1953302.3799438355,A2C
2025-03-11,1918974.1169808356,A2C
2025-03-12,1897191.9778598356,A2C
2025-03-13,1847875.8074588357,A2C
2025-03-14,1881187.8156378358,A2C
2025-03-17,1888916.4911878356,A2C
2025-03-18,1894530.2711688355,A2C
2025-03-19,1886802.9643118356,A2C
2025-03-20,1858035.4550948355,A2C
2025-03-21,1831720.4221308357,A2C
2025-03-24,1834347.7696958357,A2C
2025-03-25,1804817.056797836,A2C
2025-03-26,1799538.9141828355,A2C
2025-03-27,1805783.3601108354,A2C
2025-03-28,1796778.8917678357,A2C
2025-03-31,1787626.1749518355,A2C
2025-04-01,1800321.3595978357,A2C
2025-04-02,1804300.042950836,A2C
2025-04-03,1753798.9961128356,A2C
2025-04-07,1578867.6525018357,A2C
2025-04-08,1551914.572944836,A2C
2025-04-09,1612857.5594348356,A2C
2025-04-10,1657253.0848538356,A2C
2025-04-11,1737725.9780638358,A2C
2025-04-14,1705828.6871868356,A2C
2025-04-15,1667573.9734968357,A2C
2025-04-16,1673801.9333398358,A2C
2025-04-17,1649375.7233218357,A2C
2025-04-18,1647770.7800688357,A2C
2025-04-21,1680588.9846388358,A2C
2025-04-22,1654086.8004878354,A2C
2025-04-23,1668399.6649518355,A2C
2025-04-24,1639936.7459858358,A2C
2025-04-25,1642098.5182618357,A2C
2025-04-28,1647781.7104318356,A2C
2025-04-29,1729971.2739398356,A2C
2025-04-30,1772397.7527138358,A2C
2025-05-06,1820985.2975438356,A2C
2025-05-07,1774747.1511298358,A2C
2025-05-08,1769541.376614836,A2C
2025-05-09,1761233.574265836,A2C
2025-05-12,1777082.7821248355,A2C
2025-05-13,1768118.9412888358,A2C
2025-05-14,1782925.1531308356,A2C
2025-05-15,1725149.7382908356,A2C
2025-05-16,1734592.4656058357,A2C
2025-05-19,1727524.6093778356,A2C
2025-05-20,1773604.3892868357,A2C
2025-05-21,1761241.2108808355,A2C
2025-05-22,1793704.4362198354,A2C
2025-05-23,1753970.7112518356,A2C
2025-05-26,1735717.0535558357,A2C
2025-05-27,1709493.1559318358,A2C
2025-05-28,1703850.9286468357,A2C
2025-05-29,1726623.0375498359,A2C
2025-05-30,1679000.3272088356,A2C
2025-06-03,1678960.7310168357,A2C
2025-06-04,1726447.5916128356,A2C
2025-06-05,1786251.5475168356,A2C
2025-06-06,1783595.4152698354,A2C
2025-06-09,1751378.5168808356,A2C
2025-06-10,1707191.4282908356,A2C
2025-06-11,1711477.995183836,A2C
2025-06-12,1692261.4280538356,A2C
2025-06-13,1677723.7408068357,A2C
2025-06-16,1696358.1063738358,A2C
2025-06-17,1684335.5834158356,A2C
2025-06-18,1694878.5574558359,A2C
2025-06-19,1702070.2020788358,A2C
2025-06-20,1678937.6396318355,A2C
2025-06-23,1668464.1966338356,A2C
2025-06-24,1700563.7935338356,A2C
2025-06-25,1731996.540436836,A2C
2025-06-26,1701803.0648988357,A2C
2025-06-27,1720784.0978668355,A2C
2025-06-30,1719833.0307988361,A2C
2025-07-01,1720258.7909118359,A2C
2025-07-02,1679373.4176458356,A2C
2025-07-03,1687817.9822018358,A2C
2025-07-04,1670957.3003938356,A2C
2025-07-07,1660010.545360836,A2C
2025-07-08,1688293.3564078358,A2C
2025-07-09,1664323.0598778357,A2C
2025-07-10,1662969.2244098356,A2C
2025-07-11,1668050.754298836,A2C
2025-07-14,1668392.3222088355,A2C
2025-07-15,1656236.2119388357,A2C
2025-07-16,1654599.7466178355,A2C
2025-07-17,1650715.0176188357,A2C
2025-07-18,1693953.6943468356,A2C
2025-07-21,1685794.9847778357,A2C
2025-07-22,1686482.645752836,A2C
2025-07-23,1683345.4019618356,A2C
2025-07-24,1695139.0055988359,A2C
2025-07-25,1707012.0200148358,A2C
2025-07-28,1687258.2938518357,DDPG
2025-07-29,1685625.258748836,DDPG
2025-07-30,1670096.7353198358,DDPG
2025-07-31,1634521.1675648354,DDPG
2025-08-01,1611126.5322238356,DDPG
2025-08-04,1612214.879817836,DDPG
2025-08-05,1640072.3465988357,DDPG
2025-08-06,1636736.4582988357,DDPG
2025-08-07,1632315.406609836,DDPG
2025-08-08,1610000.946271836,DDPG
2025-08-11,1619011.5324428359,DDPG
2025-08-12,1627905.3945958358,DDPG
2025-08-13,1676664.7453548359,DDPG
2025-08-14,1658530.5213348356,DDPG
2025-08-15,1671116.8122518358,DDPG
2025-08-18,1733355.887305836,DDPG
2025-08-19,1697359.9092568362,DDPG
2025-08-20,1744005.6186728356,DDPG
2025-08-21,1752566.5067718362,DDPG
2025-08-22,1846647.0752468356,DDPG
2025-08-25,1850071.5589968355,DDPG
2025-08-26,1924245.6024228358,DDPG
2025-08-27,1880287.3011198356,DDPG
2025-08-28,1927950.4488148356,DDPG
2025-08-29,1932445.9957068358,DDPG
2025-09-01,1958865.5999178358,DDPG
2025-09-02,1860836.587157836,DDPG
2025-09-03,1835220.5027578357,DDPG
2025-09-04,1736405.2691648356,DDPG
2025-09-05,1781486.3512428356,DDPG
2025-09-08,1834463.0077348356,DDPG
2025-09-09,1777481.4769178357,DDPG
2025-09-10,1770885.9379758358,DDPG
2025-09-11,1821841.1344628357,DDPG
2025-09-12,1835264.9168528358,DDPG
2025-09-15,1869668.8598708357,DDPG
2025-09-16,1904448.7266328358,DDPG
2025-09-17,1928773.6073008357,DDPG
2025-09-18,1945975.6087278358,DDPG
2025-09-19,1922302.4522878358,DDPG
2025-09-22,1973444.2193858358,DDPG
2025-09-23,1929040.234197836,DDPG
2025-09-24,2004255.0269178357,DDPG
2025-09-25,2032100.4777538357,DDPG
2025-09-26,2037008.1279868358,DDPG
2025-09-29,2022549.4992328356,DDPG
2025-09-30,2038949.6779938356,DDPG
2025-10-09,2023747.1663288355,DDPG
2025-10-10,1913504.4930838358,DDPG
2025-10-13,1866535.6176238358,DDPG
2025-10-14,1777424.5215618357,DDPG
2025-10-15,1807112.1200198354,DDPG
2025-10-16,1791736.810669836,DDPG
2025-10-17,1718175.7887088356,DDPG
2025-10-20,1717276.0507178355,DDPG
2025-10-21,1752508.1426788357,DDPG
2025-10-22,1741669.1219758356,DDPG
2025-10-23,1745593.3654278358,DDPG
2025-10-24,1790185.4720838354,DDPG
2025-10-27,1800539.6406588359,DDPG
2025-10-28,1843657.6453118362,DDPG
2025-10-29,1826091.1841538358,DDPG
2025-10-30,1786750.3996128356,DDPG
2025-10-31,1764443.343790836,DDPG
2025-11-03,1749073.4492358358,DDPG
2025-11-04,1711988.8681978357,DDPG
2025-11-05,1700597.0973528358,DDPG
2025-11-06,1722809.5683428356,DDPG
2025-11-07,1698149.9073688358,DDPG
2025-11-10,1702599.6622128356,DDPG
2025-11-11,1671705.7378228358,DDPG
2025-11-12,1675617.9200198357,DDPG
2025-11-13,1678042.5425188355,DDPG
2025-11-14,1644242.8118808363,DDPG
2025-11-17,1638234.7981088357,DDPG
2025-11-18,1651363.798417836,DDPG
2025-11-19,1620418.3479928358,DDPG
2025-11-20,1600931.1845128357,DDPG
2025-11-21,1565507.7642238357,DDPG
2025-11-24,1582927.5221148357,DDPG
2025-11-25,1586303.7461698358,DDPG
2025-11-26,1584215.4369648357,DDPG
2025-11-27,1614433.2488928358,DDPG
2025-11-28,1618753.6979568356,DDPG
2025-12-01,1643469.8064078356,DDPG
2025-12-02,1640503.5328988356,DDPG
2025-12-03,1614468.1103728358,DDPG
2025-12-04,1619151.8879528358,DDPG
2025-12-05,1625668.5156688357,DDPG
2025-12-08,1639139.8047288358,DDPG
2025-12-09,1626317.726208836,DDPG
2025-12-10,1675772.4013128357,DDPG
2025-12-11,1649788.5048218358,DDPG
2025-12-12,1713846.3044968357,DDPG
2025-12-15,1684252.055971836,DDPG
2025-12-16,1690508.0030718357,DDPG
2025-12-17,1703232.7871858354,DDPG
2025-12-18,1666316.7613928358,DDPG
